--- Global Apify Run Audit (Detailed) ---
DATE: 2026-03-10 | ID: FKfPYt825bgju015I | STATUS: ABORTED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-10 | ID: I3d9V2eufhgeg57XF | STATUS: ABORTED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-10 | ID: dNd4IxIDpYpIPh2gF | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-10 | ID: oo4kgJlHdeGH83e7r | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-10 | ID: rQjf2ZohQrKsgkC7P | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-10 | ID: Bj1NSe6Ih44WPActL | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-10 | ID: PQbMM15SG2tLpNtul | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-10 | ID: adedmphb9juAg7bjo | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-08 | ID: vMv2bI7NUH7aA1PjS | STATUS: ABORTED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-08 | ID: 5cUt0zay1Ar8fLcIh | STATUS: ABORTED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-08 | ID: coUcT3pSyWeEu59jt | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-08 | ID: HQzYPHxUAYMh0mOXu | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-08 | ID: v07fesrSUdlCisgS2 | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-07 | ID: i96tmItpVgUyzfNFu | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-07 | ID: 4EutjgBpgxj3pvMcv | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-07 | ID: RarrPSgcICF6D9DPh | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-07 | ID: Yn2hGavYhExy0RZoz | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
DATE: 2026-03-07 | ID: ujZfTlWc4b7byRJa7 | STATUS: SUCCEEDED | TASK: DIRECT | ACTOR: nopnOEWIYjLQfBqEO
